제목,저자,발행처
용병전 :이원호 장편 전쟁소설 .1부-3권 이라크 재침투,이원호 지음,한결미디어
원칙,레이 달리오 지음,한빛비즈
유럽 도시 기행 :Athenae Roma Istanbul Paris .1,유시민 [지음],생각의길: 아름다운사람들
유시민의 글쓰기 특강,유시민 지음,생각의길: 아름다운사람들
인스타 브레인 :몰입을 빼앗긴 시대 똑똑한 뇌 사용법,안데르스 한센 지음,동양북스
일본의 굴레 :헤이안 시대에서 아베 정권까지 타인의 눈으로 안에서 통찰해낸 일본의 빛과 그늘,태가트 머피 지음,글항아리
종이 동물원 :켄 리우 소설,켄 리우 [지음],황금가지
죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이 .2,백세희 [지음],흔
죽이고 싶은 아이 :이꽃님 장편소설,이꽃님 지음,우리학교
지구인만큼 지구를 사랑할 순 없어 :정세랑 에세이,정세랑 지음,위즈덤하우스
지적 대화를 위한 넓고 얕은 지식 .2 현실 너머-철학?과학?예술?종교?신비,채사장 지음,웨일북(Whale Books)
책들의 부엌 :김지혜 장편소설,김지혜 지음,팩토리나인
철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구,야마구치 슈 지음,다산초당: 다산북스
클라라와 태양 :가즈오 이시구로 장편소설,가즈오 이시구로 지음,민음사
파리 마카롱 수수께끼 =The paris macaron mystery,요네자와 호노부 지음,엘릭시르 : 문학동네
프리즘 :손원평 장편소설,손원평 지음,은행나무
학생가의 살인,히가시노 게이고 [지음],재인
해리 포터 :20years of Harry Potter magic .제1권 1 마법사의 돌,J.K. 롤링 지음,문학수첩
허상의 어릿광대,히가시노 게이고 지음,재인
('게으른 나'를 인정했더니) 방이 더 깨끗해졌어요! :게으름뱅이의 작심삼일 퇴치하기,와타나베 폰 지음,이아소
(16년 차 월급쟁이 2년 만에 경제적 자유를 얻은) 실천 독서법,독서부자 낙숫물 지음,청림출판
(Why?) 메타버스,최재훈 글,예림당
(超譯) 니체의 말,프리드리히 니체 지음,삼호미디어
(고양이 해결사) 깜냥 .1 아파트의 평화를 지켜라!,홍민정 동화,창비
(고양이 해결사) 깜냥 .2 최고의 요리에 도전하라!,홍민정 동화,창비
(그림으로 공부하는) TCP/IP 구조,미야타 히로시 지음,Jpub(제이펍)
(데일 카네기) 자기관리론,데일 카네기 지음,베이직북스
(비울수록 사람을 더 성장시키는) 리더의 말그릇,김윤나 지음,카시오페아: 카시오페아 출판사
(빅터 프랭클의) 죽음의 수용소에서 :죽음조차 희망으로 승화시킨 인간 존엄성의 승리,빅터 프랭클 지음,청아출판사
(상상초월) 포켓몬 과학 연구소 .3,야나기타 리카오 글,북이십일: 아울북
(설민석의) 통일 대모험 .상 분단 편 - 설쌤! 왜 통일을 해야 하죠?,설민석,아이휴먼 : 휴먼큐브
(설민석의) 한국사 대모험 .20 고려의 발전 편 : 서희와 거란의 한판 대결!,설민석,아이휴먼×Dankkumi: 휴먼큐브
(송사무장의 부동산) 경매의 기술,송희창 지음,지혜로
(쉽게 따라 만드는) 파이썬 주식 자동매매 시스템 =Python auto trading system,박준성 지음,길벗
(신비아파트) 공포미스터리탈출 :미스터리 과학 상식,유경원 글,서울문화사
(썬킴의) 세계사 완전 정복 :패권전쟁으로 이해하는 역사의 흐름,썬킴 지음,RHK(알에이치코리아)
(이상한 과자 가게) 전천당 .1,히로시마 레이코 글,길벗스쿨
(이상한 과자 가게) 전천당 .12,히로시마 레이코 글,길벗스쿨
(이상한 과자 가게) 전천당 .15,히로시마 레이코 글,길벗스쿨
(채사장의) 지대넓얕 :지적 대화를 위한 넓고 얕은 지식 .03 폭력의 시대,채사장,Dolphin Books(돌핀북)
(추리 천재) 엉덩이 탐정 .10 사랑의 포로 사건,트롤 글?그림,MiraeN 아이세움 : 미래엔
(추리 천재) 엉덩이 탐정 .5 유적에서 날아온 SOS 사건,트롤 글?그림,미래엔(Mirae N): 아이세움
(추리 천재) 엉덩이 탐정 .9 세 마리 행운 고양이 사건,트롤 글?그림,미래엔(MiraeN): 아이세움
(핏블리의) 헬스 다이어트 전략집 :'핏블리'가 알려주는 근육 운동과 다이어트에 대한 모든 것!,핏블리 지음,비타북스: 헬스조선
(현실은 엉망이지만 그럼에도 불구하고) 제 마음대로 살아보겠습니다,이원지 글?사진,상상출판
(흔들리지 않고 끝까지 계속하게 만드는) 루틴의 힘,댄 애리얼리,부키
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .16 베트남(Vietnam),김미영 글,아울북×Kakao Friends : 북이십일 아울북
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .19 한국② (Korea),김미영 글,아울북×Kakao Friends : 북이십일 아울북
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .8 인도(India),김미영 글,북이십일 아울북: 아울북 x Kakao friends
NFT 레볼루션 :현실과 메타버스를 넘나드는 새로운 경제 생태계의 탄생 =NFT revolution,성소라,더 퀘스트: 길벗
太白山脈 :趙廷來 大河小說 .2 제1부 恨의 모닥불,조정래 [저],해냄출판사
가부장제의 경로를 이탈하였습니다 :만족도 도합 104% 이혼 유튜버 아넵의 사서 고생 결혼 해방 일지,아넵 지음,위즈덤하우스
거꾸로 읽는 세계사,유시민 지음,돌베개
거래의 기술 :트럼프는 어떻게 원하는 것을 얻는가,도널드 트럼프 지음,살림출판사
