제목,저자,발행처
코로나와 잠수복,오쿠다 히데오 지음,북로드: 더난콘텐츠그룹
코스모스 :특별판,칼 세이건 지음,사이언스북스
클루지 :생각의 역사를 뒤집는 기막힌 발견,개리 마커스 지음,갤리온
타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략,팀 페리스 지음,토네이도미디어그룹(TORNADO)
투자의 감각 :시장이 보내는 위기와 기회의 신호를 포착하는 비결 =Investment and sense,이명로 지음,비즈니스북스
튜브 :손원평 장편소설,손원평 지음,창비
파친코 :이민진 장편소설 .1,이민진 지음,인플루엔셜
페인트 :이희영 장편소설,이희영 지음,창비
풀하우스 :메이브 빈치 소설,메이브 빈치 지음,문학동네
하쿠다 사진관 :허태연 장편소설,허태연 지음,놀: 다산북스
하쿠바산장 살인사건,히가시노 게이고 지음,알에이치코리아(RHK)
한 여자,아니 에르노 지음,열린책들
한국이 싫어서 :장강명 장편소설,장강명 지음,민음사
한밤의 미스터리 키친,이시모치 아사미 지음,RHK(알에이치코리아)
흑뢰성 :요네자와 호노부 장편소설,요네자와 호노부 지음,Readbie: 디앤씨미디어
(10년 동안) 적금밖에 모르던 39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까? :5년 만에 자산을 100배 불린 투자고수 렘군의 단기속성 부동산 스쿨,김재수 지음,비즈니스북스
(2022 피할 수 없는) 부채 위기 :부동산과 주식 시장의 폭락에 대비하라! =Debt crisis,서영수 지음,에이지21(에이지이십일)
(22개 나라로 읽는) 부의 세계사 :역사의 흐름을 지배한 7가지 부의 속성 =The world history of wealth : 22 countries,조홍식 지음,웅진지식하우스: 웅진씽크빅
(EBS 다큐프라임) 자본주의 :금융?소비?돈에 관한 33가지 비밀,EBS <자본주의> 제작팀,가나 : 가나문화콘텐츠
(EBS) 당신의 문해력 :공부의 기초체력을 키워주는 힘,김윤정 글,EBS Books: 한국교육방송공사(EBS)
(EBS) 문해력 유치원 :우리 아이 문해력 발달의 모든 것,최나야 외 지음,EBS Books: 한국교육방송공사(EBS)
(Real) MySQL 8.0 :개발자와 DBA를 위한 MySQL 실전 가이드 .1,백은빈,위키북스
(The) midnight library,[by] Matt Haig,Viking
(Why?) 미국,남춘자 글,예림당
(Why?) 사춘기와 성,전지은 글,예림당
(그림과 실습으로 배우는) 도커&쿠버네티스 :개념과 작동 원리가 쏙쏙 이해되는 완벽 입문서,오가사와라 시게타카 지음,위키북스
(나를 찾아가는) 습관 바꾸기,빛그래 지음,킴예스
(난생 처음 공부하는 철학사가 한눈에 들어오는) 철학사 아는 척하기,데이브 로먼 지음,팬덤북스
(내 삶이 만족스럽지 못한 건) 나를 몰랐기 때문이다,김정현 지음,유노북스
(도카이 에리카의) 배색무늬 니트 손뜨개 :뜨개질로 표현하는 귀여운 모티프,도카이 에리카 지음,지금이책
(되는 곳만 골라 발 빠르게 투자하는) 대한민국 재건축 재개발 지도,정지영 지음,다산북스
(딱 2년 안에 무조건 돈 버는) 부동산 투자 시크릿 :3천만 원으로 3년 만에 50억을 만든 지역분석 고수 세빛희의 투자 비결,김세희 지음,비즈니스북스
(리얼) 제주 :제주를 가장 멋지게 여행하는 방법 : 2021~2022년 최신판 =Jeju,김태연,한빛라이프
(만들면서 배우는) 파이썬과 40개의 작품들 :자동화 크롤링 이미지처리 데이터분석 웹페이지 GUI 프로그램 게임 인공지능 프로그램 직접 만들며 배우기,장문철 지음,앤써북
(만화) 속담 백과 :초등학생이 꼭 알아야 할 속담 105가지: 재치팡팡!,김이리 글,학은미디어
(만화로 보는) 맨큐의 경제학 .1 경제학의 10대 기본원리,그레고리 맨큐 지음,이러닝코리아(eLk)
(말투 하나로 적을 만들지 않는)어른의 말공부,사이토 다카시 지음,비즈니스북스
(박미정의) 깃&깃허브 입문 :깃＆깃허브 손으로 체득해 습관처럼 써라: 프로젝트 협업 시나리오로 익히는 Git＆GitHub 반복 학습서,박미정 지음,Golden Rabbit(골든래빗)
(박시백의) 고려사 .2 전쟁과 외교 작지만 강한 고려,박시백 지음,Humanist(휴머니스트출판그룹): H
(밥 프록터) 부의 확신 :세계 단 1%만이 알고 있는 부와 성공의 비밀,밥 프록터 지음,비즈니스북스
(베르나르 베르베르의) 상상력 사전 :새롭게 증보된 상대적이며 절대적인 지식의 백과사전,베르나르 베르베르 지음,열린책들
(부를 창조하는 생각의 뿌리) 웰씽킹 :10억 빚더미를 연매출 6000억과 맞바꾼 부의 원리 =Wealthinking,켈리 최 지음,다산북스
(부와 행복을 끌어당기는) 말의 알고리즘 =Algorithm of words,고은미,한밤의책: 스몰빅미디어
(비밀의 보석 가게) 마석관 .2,히로시마 레이코 글,길벗스쿨
(사전없이 속전속결) 일본어 한자읽기 3법칙,이동훈 편저,다락원
(서울 자가에 대기업 다니는) 김 부장 이야기 .1 김 부장 편,송희구 지음,서삼독
(서울 자가에 대기업 다니는) 김 부장 이야기 .2 정 대리?권 사원 편,송희구 지음,서삼독
(서울 자가에 대기업 다니는) 김 부장 이야기 .3 송 과장 편,송희구 지음,서삼독
(설민석의) 통일 대모험 .하 통일 편 - 설쌤! 통일 한반도가 궁금해요!,설민석,아이휴먼 : 휴먼큐브
(설민석의) 한국사 대모험 .13 역사의 진실 편 - 뒤바뀐 역사를 되돌려라!,설민석,아이휴먼: 휴먼큐브
(셰어하우스) 플라주,혼다 데쓰야 지음,비채 : 김영사
(시공사도 건축가도 안 알려주는) 건축주만이 알려줄 수 있는 집짓기 진실,손창완 지음,주택문화사
(신비아파트) 공포이상기후탈출 :이상 기후 과학 상식,유경원 글,서울문화사
(신비아파트) 한자귀신 :오싹 공포 한자 학습 만화 .1 1001개의 구슬,김강현 글,서울문화사
(신비아파트) 한자귀신 :오싹 공포 한자 학습 만화 .5 의문의 전학생,김강현 글,서울문화사
(안 아프게 백년을 사는) 생체리듬의 비밀 :노벨의학상이 밝힌 식사 수면 휴식의 규칙,막시밀리안 모저 지음,추수밭 : 청림출판
(에그박사의) 닮은꼴 사파리 :전/격/비/교/관/찰 생물도감,에그박사 지음,다락원
(엽기 과학자) 프래니 .1 거대한 도시락 괴물,짐 벤튼 글?그림,사파리 : 이퍼블릭
(엽기 과학자) 프래니 .2 거인 큐피드의 공격,짐 벤튼 글?그림,사파리 : 이퍼블릭
(엽기 과학자) 프래니 .3 투명 인간이 된 프래니,짐 벤튼 글?그림,사파리 : 이퍼블릭
(엽기 과학자) 프래니 .4 타임머신 타고 시간 여행,짐 벤튼 글?그림,사파리 : 이퍼블릭
(엽기 과학자) 프래니 .5 지구 최후의 날 시한폭탄,짐 벤튼 글?그림,사파리 : 이퍼블릭
(엽기 과학자) 프래니 .6 복제 로봇과 프래니의 대결,짐 벤튼 글?그림,사파리 : 이퍼블릭
(엽기 과학자) 프래니 .7 반장 선거에 나간 프래니,짐 벤튼 글?그림,사파리 : 이퍼블릭
(오은영의) 화해 :상처받은 내면의 '나'와 마주하는 용기,오은영 지음,코리아닷컴(KOREA.COM): 대성
(우당탕탕 야옹이와) 바다 끝 괴물,구도 노리코 글?그림,책읽는곰
(운명을 바꾸는) 부동산 투자 수업 :내 집 마련부터 실전 아파트 투자까지 결국 돈 버는 부동산 투자 트레이닝 .[2] 실전편,정태익 지음,리더스북
(은근 몰랐던) 일본 문화사 :재미와 역사가 동시에 잡히는 세계 속 일본 읽기,조재면 지음,블랙피쉬: 백도씨
(이상한 과자 가게) 전천당 .10,히로시마 레이코 글,길벗스쿨
(이상한 과자 가게) 전천당 .11,히로시마 레이코 글,길벗스쿨
(이상한 과자 가게) 전천당 .13,히로시마 레이코 글,길벗스쿨
(이상한 과자 가게) 전천당 .2,히로시마 레이코 글,길벗스쿨
(이상한 과자 가게) 전천당 .3,히로시마 레이코 글,길벗스쿨
(이상한 과자 가게) 전천당 .9,히로시마 레이코 글,길벗스쿨
(이상한 과자 가게) 전천당 :공식 가이드북,히로시마 레이코 글,길벗스쿨
(일잘러의 비밀) 구글(Google) 스프레드시트 제대로 파헤치기 :구글 스프레드시트로 엑셀 밟고 칼퇴하자,강남석 지음,한빛미디어
(읽으면 돈 되는) 끝장 경제 상식 :경제기사로 쉽게 배워 TESAT까지 한 번에,김형진 지음,한국경제신문: 한경BP
(읽으면서 바로 써먹는) 어린이 고사성어,한날 글?그림,파란정원
(읽으면서 바로 써먹는) 어린이 명심보감,한날 글?그림,파란정원
(재무제표로 찾아낸) 저평가 주식 53 :투자자들이 가장 궁금해하는 반도체?전기차?메타버스?게임?바이오?로봇 분야,이승환,센시오
(직장인이라면 반드시 알아야 할) 인생 리뉴얼 ABC :연금 충분히 준비하셨나요? 하고 싶은 일 찾으셨나요?,이진이,한국경제신문
(채사장의) 지대넓얕 :지적 대화를 위한 넓고 얕은 지식 .02 자본이라는 신,채사장,Dolphin Books(돌핀북)
(채사장의) 지대넓얕 :지적 대화를 위한 넓고 얕은 지식 .04 보이지 않는 손,채사장,Dolphin Books(돌핀북)
(책으로 시작하는) 부동산 공부 :부의 길로 가기 위한 첫걸음,레비앙 지음,더스: 더디퍼런스
(처음 프로그래밍을 시작하는 입문자의 눈높이에 맞춘) 생활코딩! HTML+CSS+자바스크립트,이고잉 지음,위키북스
(추리 천재) 엉덩이 탐정 .6 수상한 탐정 사무소 사건,트롤 글?그림,미래엔(MiraeN): 아이세움
(추리 천재) 엉덩이 탐정 .8 괴도와 납치된 신부 사건,트롤 글?그림,미래엔(MiraeN): 아이세움
(추리 천재) 엉덩이 탐정과 카레 사건,트롤 글?그림,미래엔(MiraeN): 아이세움
(쿠키런(Cookierun)) 세계사 .3 고대 그리스 : 아테네 스파르타 알렉산더 대왕,동림스토리 글,서울문화사
(파이어족 강환국의) 하면 된다! 퀀트 투자 :부와 자유를 꿈꾸는 직장인을 위한 주식투자의 정석,강환국 지음,에프엔미디어
(페파의) 봄맞이 케이크 대회,펭귄랜덤하우스 [편],펭귄랜덤하우스: 펭귄랜덤하우스코리아
(프렌즈) 제주 :season2 '22~'23 =Jeju island,허준성 지음,중앙books : 중앙일보에스
(프렌즈) 후쿠오카 :유후인?벳부?키타큐슈: 최신판 season2 '20~'21 =Fukuoka,정꽃나래,중앙books: 중앙일보플러스
(피터 린치의) 이기는 투자 :월街의 영웅 피터 린치의 개인 투자자를 위한 주식?펀드 투자법,피터 린치,흐름출판
(핏블리의) 다이어트 식단 전략집 :다이어트 영양 전문가 핏블리×핑크힙 응비의 실전 코칭: 탄수화물 먹고 체지방 빼는 최강의 식단 플랜,핏블리,비타북스: 헬스조선
(호호양의) 미니멀 재테크,전유경 지음,21세기북스: 북이십일
104층 나무 집,앤디 그리피스 글,시공주니어 : 시공사
12가지 인생의 법칙 :혼돈의 해독제,조던 B. 피터슨 지음,메이븐
1984,조지 오웰 지음,민음사
1일 1미술 1교양 :처음 만나는 100일간의 서양미술사 교양 수업 .2 사실주의~20세기 미술,서정욱 지음,Qrious : 넥서스
1일 20분 셀프 PT :운동을 시작하는 남자들을 위한 최고의 퍼스널 트레이닝,이용현 지음,리스컴
5번 레인,은소홀 글,문학동네
5인의 목격자 :그날 우리는 그 사건을 분명히 보았다!: E. V. 애덤슨 장편소설,E.V. 애덤슨 지음,하빌리스: 대원씨아이
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .10 이집트(Egypt),김미영 글,아울북×Kakao Friends : 북이십일 아울북
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .17 러시아(Russia),김미영 글,아울북×Kakao Friends : 북이십일 아울북
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .18 오스트리아 (Austria),김미영 글,아울북×Kakao Friends : 북이십일 아울북
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .20 한국③ (Korea),김미영 글,아울북×Kakao Friends : 북이십일 아울북
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .5 중국(China),김미영 글,북이십일 아울북: 아울북 x Kakao friends
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .7 독일(Germany),김미영 글,북이십일 아울북: 아울북 x Kakao friends
Go go 카카오프렌즈 :세계 역사 문화 체험 학습만화 .9 스페인(Spain),김미영 글,아울북xKakao Friends : 북이십일
Her vegetables. :나를 돌보는 마음으로부터 채소일상,장진아 지음,보틀프레스(Bottlepress)
IT 엔지니어를 위한 네트워크 입문 =Introduction to networks for IT engineers,고재성,길벗
SNUH manual of medicine,서울대학교 의과대학 내과학교실 저,고려의학
Stargazing,[by] Jen Wang,First Second
UX 개론 :실무에서 통하는 UX 기본기 다지기,앙투안 비조노 지음,UX Ground: 유엑스 리뷰
三國志 .제1권 도원(桃園)에 피는 의(義),나관중 지음,민음사
運의 해석 :박청화의 실전 사주명리학 .[2] 夏,박청화 강의,청화학술원
가스라이팅 :당신을 심리적으로 지배하고 조종하는 사람에게서 벗어나는 방법,스테파니 몰턴 사키스 지음,수오서재
갑자기 악어 아빠,소연 글,비룡소
강남 되는 강북 부동산은 정해져 있다 :부자들이 개발계획에 투자하는 이유,엄재웅 지음,위즈덤하우스
거인의 포트폴리오 :월급을 쪼개서 경제적 자유를 만드는 23가지 전략,강환국 지음,Page2(페이지2북스)
걷기만 해도 병이 낫는다 :KBS 생로병사의 비밀 제작진이 밝힌 걷기의 기적,KBS <생로병사의 비밀> 제작팀 지음,비타북스 : 헬스조선
